1400	20	0.9	0.4	0.2	0.1	0.05	1.2	0.02	0.01	0.05
1000	12	0.6	0.1	0.4	0.05	0.2	3	0.02	0.02	0.01
180	2	0.02	0.01	0.7	0	0.01	1.5	0.03	0.2	0
4200	6	0.4	6	0.4	0	0.1	0.6	0.01	0.01	0
220	3.5	0.04	0.02	0.01	0.8	0.03	0.1	0.01	0.005	0.005
2800	8	0.02	0.01	0.02	7.2	0.05	0.02	0.1	0	0.05
450	3.2	0.04	0.02	0.9	0.1	0.02	2	0.05	0.25	0
1400	6	0.01	0	0.01	2.5	0.01	0.01	0.2	0	0.02
2600	2	0.01	0	0	0	6.5	0.1	0	0	0
1800	10	0.03	0.02	0.02	3.2	0.01	0.05	0.02	0.02	0.04
700	2.5	0.03	0.01	0.4	0.05	0.02	1.2	0.03	0.1	0
5000	3	0.02	0.01	0	0	0	0	0	0	1.5
400	9	0.4	0.05	0.05	0.01	0.3	2.5	0.01	0.01	0.01
