20	12	2	6	3.5	8	3.2	6	2	10	2.5	3	9	1000
0.9	0.6	0.02	0.4	0.04	0.02	0.04	0.01	0.01	0.03	0.03	0.02	0.4	35
0.4	0.1	0.01	6	0.02	0.01	0.02	0	0	0.02	0.01	0.01	0.05	25
0.2	0.4	0.7	0.4	0.01	0.02	0.9	0.01	0	0.02	0.4	0	0.05	20
0.1	0.05	0	0	0.8	7.2	0.1	2.5	0	3.2	0.05	0	0.01	60
0.05	0.2	0.01	0.1	0.03	0.05	0.02	0.01	6.5	0.01	0.02	0	0.3	45
1.2	3	1.5	0.6	0.1	0.02	2	0.01	0.1	0.05	1.2	0	2.5	80
0.02	0.02	0.03	0.01	0.01	0.1	0.05	0.2	0	0.15	0.03	0	0.01	12
0.01	0.02	0.2	0.01	0.005	0	0.25	0	0	0.02	0.1	0	0.01	6
0.05	0.01	0	0	0.005	0.05	0	0.02	0	0.04	0	1.5	0.01	10
-1	0	0	0	0	0	0	0	0	0	0	0	0	-20
0	-1	0	0	0	0	0	0	0	0	0	0	0	-20
0	0	-1	0	0	0	0	0	0	0	0	0	0	-20
0	0	0	-1	0	0	0	0	0	0	0	0	0	-20
0	0	0	0	-1	0	0	0	0	0	0	0	0	-20
0	0	0	0	0	-1	0	0	0	0	0	0	0	-20
0	0	0	0	0	0	-1	0	0	0	0	0	0	-20
0	0	0	0	0	0	0	-1	0	0	0	0	0	-20
0	0	0	0	0	0	0	0	-1	0	0	0	0	-20
0	0	0	0	0	0	0	0	0	-1	0	0	0	-20
0	0	0	0	0	0	0	0	0	0	-1	0	0	-20
0	0	0	0	0	0	0	0	0	0	0	-1	0	-20
0	0	0	0	0	0	0	0	0	0	0	0	-1	-20
1400	1000	180	4200	220	2800	450	1400	2600	1800	700	5000	400	1
